[2026-03-22 00:40:36,232][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:40:36,233][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:40:43,230][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:40:43,342][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:41:47,092][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ------------------------------------------------------
[2026-03-22 00:41:47,480][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ------------------------------------------------------
[2026-03-22 00:41:47,871][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ------------------------------------------------------
[2026-03-22 00:41:48,261][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ------------------------------------------------------
[2026-03-22 00:41:48,649][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ------------------------------------------------------
[2026-03-22 00:41:49,037][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ------------------------------------------------------
[2026-03-22 00:41:49,424][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ------------------------------------------------------
[2026-03-22 00:41:49,811][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ------------------------------------------------------
[2026-03-22 00:41:50,201][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ------------------------------------------------------
[2026-03-22 00:41:50,590][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ------------------------------------------------------
[2026-03-22 00:41:50,977][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ------------------------------------------------------
[2026-03-22 00:41:51,367][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ------------------------------------------------------
[2026-03-22 00:41:51,757][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ------------------------------------------------------
[2026-03-22 00:41:52,145][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ------------------------------------------------------
[2026-03-22 00:41:52,531][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ------------------------------------------------------
[2026-03-22 00:41:52,919][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ------------------------------------------------------
[2026-03-22 00:41:53,305][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ------------------------------------------------------
[2026-03-22 00:41:53,695][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ------------------------------------------------------
[2026-03-22 00:41:54,082][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ------------------------------------------------------
[2026-03-22 00:41:54,471][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ------------------------------------------------------
[2026-03-22 00:41:54,860][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ------------------------------------------------------
[2026-03-22 00:41:55,250][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: ------------------------------------------------------
[2026-03-22 00:41:55,637][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: ------------------------------------------------------
[2026-03-22 00:41:56,026][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: ------------------------------------------------------
[2026-03-22 00:41:56,412][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: ------------------------------------------------------
[2026-03-22 00:41:56,799][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: ------------------------------------------------------
[2026-03-22 00:41:57,201][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: ------------------------------------------------------
[2026-03-22 00:41:57,594][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: ------------------------------------------------------
[2026-03-22 00:41:57,979][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: ------------------------------------------------------
[2026-03-22 00:41:58,367][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: ------------------------------------------------------
[2026-03-22 00:41:58,753][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: ------------------------------------------------------
[2026-03-22 00:41:59,148][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: ------------------------------------------------------
[2026-03-22 00:41:59,539][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: ------------------------------------------------------
[2026-03-22 00:41:59,930][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: ------------------------------------------------------
[2026-03-22 00:42:00,317][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: ------------------------------------------------------
[2026-03-22 00:42:00,704][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: ------------------------------------------------------
[2026-03-22 00:42:01,095][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: ------------------------------------------------------
[2026-03-22 00:42:01,483][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: ------------------------------------------------------
